City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,66.99,95,98,9.89,overcast clouds
1,Jamestown,US,42.097,-79.2353,15.01,73,90,14.97,light snow
2,College,US,64.8569,-147.8028,-9.0,76,20,2.35,few clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,75,12.66,light rain
4,Carnarvon,AU,-24.8667,113.6333,75.2,100,40,10.36,scattered clouds
5,Albany,US,42.6001,-73.9662,30.0,72,100,10.13,light snow
6,Clyde River,CA,70.4692,-68.5914,-4.0,92,75,20.71,light snow
7,Faanui,PF,-16.4833,-151.75,81.1,77,2,13.0,clear sky
8,Mataura,NZ,-46.1927,168.8643,67.14,50,98,3.09,overcast clouds
9,Thompson,CA,55.7435,-97.8558,-25.6,68,75,17.27,snow
10,Katsuura,JP,35.1333,140.3,42.8,49,20,9.22,few clouds
11,Toamasina,MG,-18.1667,49.3833,77.0,88,40,3.44,scattered clouds
12,Punta Arenas,CL,-53.15,-70.9167,73.4,21,0,14.97,clear sky
13,Talnakh,RU,69.4865,88.3972,-19.95,75,19,2.59,few clouds
14,Torbay,CA,47.6666,-52.7314,30.99,69,20,28.77,few clouds
15,Atambua,ID,-9.1061,124.8925,74.55,89,100,2.84,overcast clouds
16,Portales,US,34.1862,-103.3344,72.0,6,1,17.27,clear sky
17,Ushuaia,AR,-54.8,-68.3,62.6,55,75,6.91,broken clouds
18,Arraial Do Cabo,BR,-22.9661,-42.0278,73.4,88,75,6.91,broken clouds
19,Busselton,AU,-33.65,115.3333,62.01,99,84,1.01,broken clouds
20,Hilo,US,19.7297,-155.09,78.8,50,1,3.44,clear sky
21,Argentan,FR,48.75,-0.0167,35.6,75,90,11.5,light rain
22,Bluff,NZ,-46.6,168.3333,60.21,71,99,4.21,light rain
23,Ribeira Grande,PT,38.5167,-28.7,59.0,77,40,11.5,scattered clouds
24,Castro,BR,-24.7911,-50.0119,63.61,75,0,3.09,clear sky
25,Rikitea,PF,-23.1203,-134.9692,77.65,72,97,13.13,overcast clouds
26,Ushibuka,JP,32.1906,130.0228,52.77,60,61,20.29,broken clouds
27,Tasiilaq,GL,65.6145,-37.6368,26.6,50,0,14.97,clear sky
28,Kouango,CF,4.9934,19.9619,70.52,23,92,1.28,overcast clouds
29,Ceahlau,RO,47.05,25.9667,30.99,48,100,2.3,overcast clouds
30,Airai,TL,-8.9266,125.4092,60.93,100,100,2.46,overcast clouds
31,Kapaa,US,22.0752,-159.319,75.99,56,1,3.44,clear sky
32,Chuy,UY,-33.6971,-53.4616,69.1,72,32,10.38,scattered clouds
33,Vizinga,RU,61.0749,50.1031,-19.39,85,100,9.51,overcast clouds
34,Provideniya,RU,64.3833,-173.3,-2.51,81,61,17.43,broken clouds
35,Kavieng,PG,-2.5744,150.7967,83.95,74,63,9.46,broken clouds
36,Saskylakh,RU,71.9167,114.0833,-37.14,78,30,13.58,scattered clouds
37,Vaini,TO,-21.2,-175.2,78.8,89,75,13.8,moderate rain
38,Padang,ID,-0.9492,100.3543,75.2,88,20,3.44,light rain
39,Cidreira,BR,-30.1811,-50.2056,72.41,69,0,8.93,clear sky
40,Tautira,PF,-17.7333,-149.15,86.0,58,20,4.61,few clouds
41,Boguchany,RU,58.3814,97.4531,28.87,96,71,7.87,broken clouds
42,Hithadhoo,MV,-0.6,73.0833,81.73,70,56,6.64,broken clouds
43,Atuona,PF,-9.8,-139.0333,79.63,74,24,20.87,few clouds
44,Malazgirt,TR,39.1427,42.5401,19.42,86,16,0.4,few clouds
45,Zaoyang,CN,32.1272,112.7542,42.03,63,100,10.54,overcast clouds
46,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.85,92,100,4.09,overcast clouds
47,Butaritari,KI,3.0707,172.7902,81.28,80,93,19.15,overcast clouds
48,Skjervoy,NO,70.0311,20.9714,29.05,91,100,17.05,light snow
49,Victoria,HK,22.2855,114.1577,66.99,78,0,1.01,clear sky
50,Gamba,GA,-2.65,10.0,78.66,85,100,4.29,overcast clouds
51,Tres Arroyos,AR,-38.3739,-60.2798,59.09,74,99,16.71,overcast clouds
52,Tessalit,ML,20.1986,1.0114,63.45,27,100,9.93,overcast clouds
53,Bengkulu,ID,-3.8004,102.2655,75.2,82,90,5.37,overcast clouds
54,Carutapera,BR,-1.195,-46.02,77.29,90,2,7.07,clear sky
55,Avarua,CK,-21.2078,-159.775,84.2,79,40,13.8,scattered clouds
56,Ancud,CL,-41.8697,-73.8203,75.0,42,0,5.99,clear sky
57,Chapais,CA,49.7834,-74.8492,15.8,79,90,5.75,light snow
58,Hermanus,ZA,-34.4187,19.2345,64.99,79,3,3.6,clear sky
59,Esperance,AU,-33.8667,121.9,62.6,88,19,11.5,few clouds
60,Lakes Entrance,AU,-37.8811,147.981,61.0,63,17,1.99,few clouds
61,Georgetown,MY,5.4112,100.3354,80.6,83,20,1.14,few clouds
62,Kahului,US,20.8947,-156.47,77.0,53,20,8.05,few clouds
63,Ilulissat,GL,69.2167,-51.1,24.8,39,0,5.75,clear sky
64,Northam,GB,51.0333,-4.2167,35.01,72,25,15.01,scattered clouds
65,Narsaq,GL,60.9167,-46.05,35.6,30,66,44.87,broken clouds
66,Necochea,AR,-38.5473,-58.7368,60.01,78,100,17.11,overcast clouds
67,Fayaoue,NC,-20.65,166.5333,80.02,69,79,3.8,broken clouds
68,Dhidhdhoo,MV,6.8833,73.1,80.89,71,45,6.6,scattered clouds
69,Labuhan,ID,-6.8844,112.2051,78.49,85,100,11.39,overcast clouds
70,Lafia,NG,8.4833,8.5167,80.24,16,83,3.4,broken clouds
71,Kyren,RU,51.6828,102.1408,15.46,80,45,2.39,scattered clouds
72,Oranjemund,NA,-28.55,16.4333,63.1,78,0,19.95,clear sky
73,Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,72,0,4.61,clear sky
74,Burnie,AU,-41.0667,145.9167,55.99,69,97,6.02,overcast clouds
75,Faya,SA,18.3851,42.4509,57.2,44,0,11.5,clear sky
76,East London,ZA,-33.0153,27.9116,72.66,80,83,7.52,light rain
77,San Borja,BO,-14.8167,-66.85,83.61,79,99,3.24,overcast clouds
78,Norman Wells,CA,65.282,-126.8329,-20.2,69,40,3.44,scattered clouds
79,Komsomolskiy,UZ,40.4272,71.7189,41.0,81,99,6.91,mist
80,Upernavik,GL,72.7868,-56.1549,18.21,79,2,3.24,clear sky
81,Toora-Khem,RU,52.4675,96.11,4.14,91,78,0.98,broken clouds
82,Mwene-Ditu,CD,-7.0,23.45,65.93,94,100,2.77,overcast clouds
83,Bubaque,GW,11.2833,-15.8333,77.61,67,14,12.73,few clouds
84,Saint Anthony,US,45.0205,-93.218,-2.2,42,1,5.66,clear sky
85,Tabou,CI,4.423,-7.3528,79.38,87,71,7.27,broken clouds
86,Vilhena,BR,-12.7406,-60.1458,84.2,65,40,5.75,scattered clouds
87,Kodiak,US,57.79,-152.4072,30.2,64,1,3.44,clear sky
88,Mattru,SL,7.6244,-11.8332,77.92,84,24,3.49,few clouds
89,Qaanaaq,GL,77.484,-69.3632,13.08,85,65,6.93,broken clouds
90,Rio Gallegos,AR,-51.6226,-69.2181,68.0,40,0,23.02,clear sky
91,Hamilton,US,39.1834,-84.5333,24.8,30,75,11.5,broken clouds
92,Hobart,AU,-42.8794,147.3294,57.99,54,40,12.66,light rain
93,Jacareacanga,BR,-6.2222,-57.7528,76.8,94,100,2.75,overcast clouds
94,Viru,PE,-8.4167,-78.75,73.4,83,0,9.22,clear sky
95,Lebu,CL,-37.6167,-73.65,61.61,83,10,4.7,clear sky
96,Praia Da Vitoria,PT,38.7333,-27.0667,57.2,77,40,15.26,scattered clouds
97,Bethel,US,41.3712,-73.414,30.0,93,90,5.75,light snow
98,Belaya Gora,RU,68.5333,146.4167,-26.16,83,94,3.89,overcast clouds
99,Souillac,MU,-20.5167,57.5167,80.6,78,40,10.36,scattered clouds
100,Balkhash,KZ,46.844,74.9804,28.4,99,84,10.6,broken clouds
101,Mmabatho,ZA,-25.85,25.6333,66.2,94,24,4.61,few clouds
102,Filingue,NE,14.3521,3.3168,80.4,16,92,8.46,overcast clouds
103,Gillette,US,44.2911,-105.5022,0.0,71,20,11.5,few clouds
104,Maldonado,UY,-34.6667,-54.9167,75.2,69,40,13.8,scattered clouds
105,Kemijarvi,FI,66.7131,27.4306,9.09,94,27,7.07,scattered clouds
106,Kudat,MY,6.8837,116.8477,78.8,94,20,2.3,few clouds
107,Belle Fourche,US,44.6714,-103.8522,3.0,71,40,5.75,scattered clouds
108,Vanimo,PG,-2.6741,141.3028,78.31,83,100,4.59,overcast clouds
109,Mayumba,GA,-3.432,10.6554,79.18,85,100,5.19,light rain
110,Taoudenni,ML,22.6783,-3.9836,61.03,31,0,7.36,clear sky
111,Alta Floresta,BR,-9.8756,-56.0861,72.95,94,100,1.97,overcast clouds
112,Bredasdorp,ZA,-34.5322,20.0403,64.4,68,5,5.75,clear sky
113,New Norfolk,AU,-42.7826,147.0587,57.0,66,50,1.99,scattered clouds
114,Mahibadhoo,MV,3.7833,72.9667,80.89,77,6,14.12,clear sky
115,Havre,FR,49.5833,0.3333,33.8,75,90,16.11,light snow
116,Dikson,RU,73.5069,80.5464,-32.1,85,90,16.71,overcast clouds
117,Sitka,US,57.0531,-135.33,35.6,32,1,0.87,clear sky
118,Chagoda,RU,59.164,35.3285,-2.99,91,100,2.13,overcast clouds
119,Lagoa,PT,39.05,-27.9833,57.85,76,97,18.97,overcast clouds
120,Bone,DE,51.9669,12.1396,21.0,92,100,5.99,overcast clouds
121,Townsville,AU,-19.25,146.8,84.2,89,20,5.75,few clouds
122,Peniche,PT,39.3558,-9.3811,57.99,92,93,21.0,light rain
123,Port Elizabeth,ZA,-33.918,25.5701,66.2,94,90,11.5,overcast clouds
124,Aksarka,RU,66.5606,67.7975,-16.6,88,100,29.53,light snow
125,Jaroslaw,PL,50.0162,22.6778,19.99,98,100,19.73,snow
126,Ponta Delgada,PT,37.7333,-25.6667,57.2,77,20,6.91,few clouds
127,Berlevag,NO,70.8578,29.0864,26.6,74,75,25.32,snow
128,Sao Filipe,CV,14.8961,-24.4956,69.8,73,100,12.53,overcast clouds
129,Mubi,NG,10.2676,13.2644,70.45,22,57,2.39,broken clouds
130,Mecca,SA,21.4267,39.8261,72.27,25,0,14.18,clear sky
131,Kiunga,PG,-6.1219,141.2906,75.4,97,100,1.88,overcast clouds
132,Saldanha,ZA,-33.0117,17.9442,62.6,72,0,14.97,clear sky
133,Sola,VU,-13.8833,167.55,81.21,73,100,6.58,overcast clouds
134,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.0,80,75,4.47,light snow
135,Grindavik,IS,63.8424,-22.4338,33.8,64,0,13.8,clear sky
136,Saint-Philippe,RE,-21.3585,55.7679,80.6,69,75,4.61,light rain
137,Mount Isa,AU,-20.7333,139.5,77.0,100,100,5.75,overcast clouds
138,Cayenne,GF,4.9333,-52.3333,80.6,83,75,13.8,broken clouds
139,Ereymentau,KZ,51.6199,73.1033,16.93,95,45,13.67,scattered clouds
140,Fortuna,US,40.5982,-124.1573,55.0,81,1,11.5,clear sky
141,Batagay,RU,67.6333,134.6333,-33.2,83,28,1.79,scattered clouds
142,Itoman,JP,26.1247,127.6694,62.6,67,20,6.91,few clouds
143,Caravelas,BR,-17.7125,-39.2481,76.6,90,100,7.76,moderate rain
144,Dunedin,NZ,-45.8742,170.5036,61.0,88,89,1.01,overcast clouds
