City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-02-07 16:56:41,42.6001,-73.9662,27.0,75,100,5.32
1,Mataura,NZ,2021-02-07 16:55:29,-46.1927,168.8643,51.69,87,99,1.79
2,Ribeira Grande,PT,2021-02-07 16:49:32,38.5167,-28.7,62.6,72,20,20.71
3,Isangel,VU,2021-02-07 16:59:48,-19.55,169.2667,77.36,80,23,3.78
4,Busselton,AU,2021-02-07 16:52:57,-33.65,115.3333,63.0,98,99,11.95
5,Gimli,CA,2021-02-07 16:58:31,50.6336,-96.9907,-23.8,57,1,11.5
6,Hobart,AU,2021-02-07 16:52:49,-42.8794,147.3294,55.4,62,90,9.22
7,Broome,US,2021-02-07 16:59:53,42.2506,-75.833,33.01,86,90,4.61
8,Krivyanskaya,RU,2021-02-07 16:59:54,47.3963,40.1662,19.4,63,0,6.71
9,Rikitea,PF,2021-02-07 16:52:54,-23.1203,-134.9692,77.27,72,95,11.77
10,Bathsheba,BB,2021-02-07 16:57:13,13.2167,-59.5167,84.2,58,40,23.02
11,Kodiak,US,2021-02-07 16:57:26,57.79,-152.4072,26.6,63,1,4.61
12,Shingu,JP,2021-02-07 17:00:01,33.7333,135.9833,41.58,80,0,5.82
13,Vinh Yen,VN,2021-02-07 17:00:05,21.31,105.5967,71.6,73,41,3.44
14,Punta Arenas,CL,2021-02-07 16:50:41,-53.15,-70.9167,62.6,34,0,12.66
15,Werder,DE,2021-02-07 17:00:09,52.3787,12.934,23.0,61,100,14.0
16,Palmares Do Sul,BR,2021-02-07 17:00:13,-30.2578,-50.5097,80.24,57,44,7.38
17,Georgiyevka,KZ,2021-02-07 17:00:17,43.0369,74.7114,37.4,93,100,8.95
18,Swan Hill,AU,2021-02-07 17:00:19,-35.3378,143.5544,58.41,62,90,11.65
19,Moussoro,TD,2021-02-07 16:58:14,13.6408,16.4901,80.51,14,3,10.16
20,Jamestown,US,2021-02-07 16:50:04,42.097,-79.2353,21.0,73,90,12.66
21,Qaanaaq,GL,2021-02-07 16:53:07,77.484,-69.3632,11.08,87,99,4.68
22,Port Lincoln,AU,2021-02-07 16:54:28,-34.7333,135.8667,59.14,81,11,15.95
23,Kibala,TD,2021-02-07 17:00:26,9.1104,18.3463,95.0,9,0,9.22
24,Palmer,US,2021-02-07 16:57:14,42.1584,-72.3287,30.0,86,90,4.61
25,Srednekolymsk,RU,2021-02-07 17:00:28,67.45,153.6833,-7.87,87,100,6.49
26,Toppenish,US,2021-02-07 17:00:29,46.3774,-120.3087,39.2,70,1,3.18
27,Egvekinot,RU,2021-02-07 16:58:10,66.3167,-179.1667,-9.11,79,0,14.05
28,Barrow,US,2021-02-07 16:49:31,71.2906,-156.7887,-20.2,69,75,10.36
29,Bethel,US,2021-02-07 16:56:03,41.3712,-73.414,28.0,93,90,4.61
30,Presidencia Roque Saenz Pena,AR,2021-02-07 17:00:36,-26.7852,-60.4388,88.0,38,0,1.99
31,Bandarbeyla,SO,2021-02-07 17:00:38,9.4942,50.8122,76.59,77,0,16.75
32,Chokurdakh,RU,2021-02-07 16:53:49,70.6333,147.9167,-24.79,85,64,6.29
33,Mar Del Plata,AR,2021-02-07 16:53:00,-38.0023,-57.5575,61.0,94,90,13.8
34,Bluff,NZ,2021-02-07 16:53:50,-46.6,168.3333,54.07,87,100,5.55
35,Paracale,PH,2021-02-07 17:00:42,14.2804,122.7881,77.09,88,75,12.33
36,Puerto Ayora,EC,2021-02-07 16:53:21,-0.7393,-90.3518,84.2,70,0,18.41
37,Hinton,CA,2021-02-07 17:00:41,53.4001,-117.5857,-32.8,75,0,1.14
38,Disna,BY,2021-02-07 16:57:26,55.568,28.1971,2.64,92,0,5.95
39,Katsuura,JP,2021-02-07 16:57:52,35.1333,140.3,46.4,49,0,18.41
40,Cape Town,ZA,2021-02-07 16:53:19,-33.9258,18.4232,72.0,53,0,25.32
41,Avarua,CK,2021-02-07 16:54:55,-21.2078,-159.775,78.8,89,1,3.44
42,Shubarshi,KZ,2021-02-07 17:00:50,48.5872,57.1869,14.16,94,72,11.18
43,Discovery Bay,US,2021-02-07 17:00:51,37.9085,-121.6002,48.2,81,1,4.61
44,Mehamn,NO,2021-02-07 16:57:19,71.0357,27.8492,23.0,86,90,31.07
45,Ushuaia,AR,2021-02-07 16:52:43,-54.8,-68.3,59.0,55,0,13.8
46,Yerbogachen,RU,2021-02-07 16:57:30,61.2767,108.0108,16.97,97,100,6.04
47,Hilo,US,2021-02-07 16:52:55,19.7297,-155.09,64.4,59,20,8.05
48,Vilyuysk,RU,2021-02-07 17:00:57,63.7553,121.6247,-23.58,85,78,10.42
49,Leningradskiy,RU,2021-02-07 16:56:44,69.3833,178.4167,-13.74,78,6,5.37
50,Kande,TG,2021-02-07 17:01:01,9.9578,1.0447,95.0,10,60,5.75
51,Tiksi,RU,2021-02-07 16:53:53,71.6872,128.8694,-28.7,83,75,3.69
52,Port Blair,IN,2021-02-07 17:01:04,11.6667,92.75,78.98,78,0,8.81
53,Samarai,PG,2021-02-07 17:01:05,-10.6167,150.6667,82.11,78,47,5.61
54,Dunedin,NZ,2021-02-07 17:01:06,-45.8742,170.5036,57.99,92,47,1.99
